0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5047730001,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047720001,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680089,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047680086,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680085,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680082,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1
5047680078,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680075,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047680072,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047680071,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047680070,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680069,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047680068,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680065,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680062,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680052,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680051,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047680050,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047680048,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047680046,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047680001,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047670090,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670081,5,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670080,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670079,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670078,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670075,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670074,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670070,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670068,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670067,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670066,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670065,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670063,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670062,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670060,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670059,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670054,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670048,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670042,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670039,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670038,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670037,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1
5047670036,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,1,1
5047670035,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,1,1
5047670030,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670028,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670026,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670025,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670022,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670021,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670020,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670018,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670017,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670016,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670015,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670013,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670012,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670007,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047670005,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047670004,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670003,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047670001,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047620335,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047620255,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047620180,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047620105,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047620033,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047620032,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
